cal_dt,rtl_week_beg_dt,TOT_GMB_PLAN,nonpaid_session,seo_session,crm_clicks,pla_spend,pla_impressions,pla_clicks,pla_igmb,pla_inorb,pla_iab,pla_norb,pla_ab,pla_irev,pla_trans_cnt,text_spend,text_impressions,text_clicks,text_igmb,text_inorb,text_iab,text_norb,text_ab,text_irev,text_trans_cnt,epn_spend,epn_clicks,epn_igmb,epn_inorb,epn_iab,epn_norb,epn_ab,epn_irev,epn_trans_cnt,app_spend,app_impressions,app_clicks,app_igmb,app_inorb,app_iab,app_norb,app_ab,app_irev,app_trans_cnt,social_spend,social_impressions,social_clicks,social_igmb,social_inorb,social_iab,social_norb,social_ab,social_irev,social_trans_cnt,display_spend,display_impressions,display_clicks,display_igmb,display_inorb,display_iab,display_norb,display_ab,display_irev,display_trans_cnt
2020/1/11,2020/1/5,72929280.23,30239261.00,2084871.00,11122500.00,279294.84,438056882.00,5045588.00,6507886.75,21490.83,32303.06,21081.00,37120.00,654307.28,163171.00,37612.63,10143951.00,335365.00,568470.46,1673.56,2532.78,1869.00,3326.00,57691.53,18407.00,167210.69,2752687.00,4343449.76,4736.26,7316.38,6197.00,12606.00,417107.72,141763.00,620.66,127380.00,9435.00,1932.04,2.91,3.11,3.00,15.00,1545.63,37.00,32030.44,6788288.00,540562.00,504855.46,22.40,47.26,224.00,588.00,52394.77,76016.00,26386.28,4904365.00,66514.00,156565.14,95.14,97.60,67.00,103.00,12059.24,2915.00
2020/1/12,2020/1/12,79520089.93,30419434.00,2135918.00,11070389.00,291274.72,439833084.00,5172533.00,7001982.66,22095.34,33330.24,21671.00,38337.00,699509.09,171316.00,37075.23,10125135.00,332087.00,553509.64,1680.39,2561.37,1878.00,3377.00,54784.57,18522.00,189985.53,2867185.00,4805316.04,4659.73,7353.12,6313.00,13082.00,442229.98,152701.00,588.54,128337.00,9629.00,3870.09,3.88,4.36,4.00,26.00,3096.08,48.00,32829.10,7242146.00,572566.00,567655.77,20.40,44.99,204.00,564.00,57142.11,82692.00,11821.16,4408134.00,62235.00,123447.98,60.94,63.81,41.00,83.00,11651.51,3313.00
2020/1/13,2020/1/12,87840999.67,33465500.00,2157397.00,14014564.00,283863.12,370025934.00,4284128.00,6557341.97,19585.04,29433.27,19192.00,33801.00,651627.45,147975.00,36661.05,9897546.00,331108.00,580154.32,1531.98,2258.53,1710.00,2938.00,55619.24,16393.00,206248.14,2937116.00,5690940.35,5170.97,7896.81,6847.00,13736.00,476674.65,153772.00,595.85,129952.00,8691.00,6104.33,2.91,3.19,3.00,21.00,4883.47,38.00,32783.50,7063610.00,545646.00,546631.64,14.00,37.77,140.00,488.00,54540.71,73648.00,10141.47,4802240.00,62928.00,117362.78,65.00,67.19,47.00,79.00,10784.11,2672.00
2020/1/14,2020/1/12,85214424.80,31887181.00,2117223.00,12272902.00,263355.70,377001736.00,4390405.00,6530059.88,19718.13,29501.65,19321.00,33834.00,636895.37,145216.00,36505.44,10681444.00,352002.00,580051.26,1337.46,1974.15,1491.00,2583.00,52001.21,14452.00,194765.81,2956823.00,5483220.42,4870.88,7613.49,6562.00,13294.00,482615.94,148229.00,595.95,114443.00,8387.00,2448.89,3.44,3.71,4.00,20.00,1959.11,32.00,32532.72,6504024.00,494366.00,565120.26,18.00,37.40,180.00,464.00,53301.74,74736.00,5158.84,3675652.00,41382.00,68953.73,27.66,29.30,22.00,46.00,7213.92,2210.00
2020/1/15,2020/1/12,83047548.37,31890786.00,2079366.00,12400876.00,261650.90,377610657.00,4446406.00,6391260.51,18956.55,28487.27,18578.00,32716.00,628749.59,146314.00,36819.46,10367197.00,354802.00,637077.92,1226.21,1792.61,1362.00,2321.00,52425.25,13835.00,184489.21,2727951.00,5137468.84,4781.95,7474.85,6456.00,13098.00,465828.94,148094.00,619.10,119381.00,8464.00,3401.03,3.88,4.30,4.00,25.00,2720.83,33.00,33249.84,6201364.00,490018.00,517589.66,14.80,29.83,148.00,368.00,50649.21,72348.00,12161.29,10163301.00,138319.00,143928.37,61.48,64.35,47.00,89.00,12493.64,2890.00
2020/1/16,2020/1/12,84307657.63,31824730.00,2036704.00,12456536.00,256977.19,386764830.00,4468507.00,6487959.24,19229.75,28828.56,18848.00,33087.00,628691.35,148352.00,34725.51,10634338.00,357480.00,560544.39,1191.58,1754.80,1319.00,2266.00,49138.80,13070.00,189115.03,2699042.00,5231590.50,4749.13,7423.94,6269.00,12843.00,461539.23,147262.00,595.75,115472.00,8171.00,3066.86,0.97,1.45,1.00,28.00,2453.48,41.00,31755.80,5852708.00,518662.00,552056.06,19.60,41.46,196.00,516.00,53643.80,75420.00,13648.19,8839054.00,117881.00,163949.09,85.76,90.88,70.00,145.00,16214.72,3748.00
2020/1/17,2020/1/12,81638287.12,31200422.00,1956768.00,12491702.00,219752.86,385894042.00,4400469.00,5901556.25,18132.02,27132.88,17777.00,31129.00,585726.53,139235.00,25812.63,8176576.00,287249.00,469802.81,968.65,1457.58,1084.00,1915.00,43670.13,11359.00,172366.98,2598078.00,4835477.89,4376.76,6744.52,5745.00,11607.00,427115.58,141151.00,590.21,117247.00,7620.00,2171.92,2.91,3.12,3.00,22.00,1737.54,55.00,30452.90,4638966.00,250448.00,370045.87,7.60,20.17,76.00,260.00,37063.21,53304.00,26673.48,16294148.00,196330.00,224524.81,125.14,132.17,92.00,195.00,20959.52,5160.00
2020/1/18,2020/1/12,71656175.72,30118695.00,2016775.00,11447263.00,232396.51,431037359.00,5099314.00,6125311.69,19449.10,29252.17,19076.00,33618.00,605502.45,152021.00,23834.48,7713890.00,276562.00,456658.54,1030.40,1562.35,1162.00,2078.00,40906.21,11931.00,160343.19,2623602.00,4179555.72,4437.48,6904.79,5663.00,11743.00,395341.96,138527.00,603.41,125659.00,8445.00,2664.86,0.97,1.18,1.00,19.00,2131.89,47.00,28627.26,4663480.00,165384.00,86825.61,4.40,8.77,44.00,108.00,9015.74,12652.00,31657.09,20592879.00,263836.00,237029.94,130.68,138.12,107.00,216.00,23962.77,5978.00
2020/1/19,2020/1/19,78123859.29,30411409.00,2094336.00,11407371.00,240819.98,435475359.00,5229971.00,6550912.50,20282.54,30685.57,19895.00,35327.00,643482.19,160447.00,20929.40,7478371.00,265410.00,421463.40,1018.37,1542.35,1143.00,2053.00,43854.50,11576.00,177140.30,2801814.00,4539683.26,4508.10,7075.87,5820.00,12242.00,436628.08,148803.00,617.14,139077.00,11190.00,4266.37,6.79,7.13,7.00,31.00,3413.10,63.00,32132.84,5303010.00,242412.00,114134.52,10.80,22.00,108.00,272.00,11408.11,15152.00,28000.20,15772534.00,232973.00,246403.57,110.76,117.86,80.00,184.00,24880.49,6057.00
2020/1/20,2020/1/19,86590003.32,33043248.00,2157595.00,13664734.00,259617.34,442389721.00,5144058.00,6972755.92,20542.44,31148.39,20136.00,35869.00,678865.24,160028.00,22534.99,7693782.00,269902.00,456177.08,1067.26,1587.83,1202.00,2099.00,42219.32,11272.00,200496.84,2973628.00,5825419.64,5008.54,7833.92,6588.00,13547.00,491920.64,155516.00,606.37,134782.00,9955.00,3347.17,3.88,3.95,4.00,24.00,2677.74,39.00,32031.64,5204836.00,480102.00,301160.45,8.00,24.67,80.00,324.00,29378.58,40432.00,31731.70,18600412.00,240019.00,237640.78,132.56,138.50,102.00,189.00,21614.25,6288.00
2020/1/21,2020/1/19,89026554.53,32841326.00,2032982.00,13726038.00,244039.69,397877092.00,4720514.00,6800629.70,19717.32,29655.89,19322.00,34065.00,662488.50,151243.00,13460.72,5996478.00,214545.00,444389.91,953.18,1401.64,1062.00,1828.00,38730.62,10125.00,201625.17,2900316.00,5658168.96,4635.66,7215.31,6091.00,12471.00,494789.59,154301.00,417.63,50357.00,4813.00,3660.90,16.61,17.23,17.00,42.00,2928.72,62.00,30783.56,4325536.00,420850.00,435700.63,11.60,24.71,116.00,308.00,42977.80,55416.00,26394.18,17284612.00,229516.00,288664.59,133.60,139.20,92.00,174.00,27423.59,4963.00
2020/1/22,2020/1/19,87749000.94,31922046.00,1990594.00,12813394.00,229640.93,391751699.00,4626518.00,6565292.74,19657.84,29396.19,19264.00,33710.00,635424.90,149158.00,16784.23,7657761.00,274839.00,493232.55,1130.50,1680.74,1263.00,2201.00,45209.70,12195.00,200219.43,2956024.00,5580329.99,4719.71,7449.71,6074.00,12533.00,495418.78,152114.00,779.99,89693.00,8349.00,7188.78,32.27,33.10,33.00,73.00,5751.02,157.00,30205.10,2860942.00,343518.00,363074.60,10.00,23.93,100.00,304.00,36449.33,50164.00,26358.43,18029702.00,220299.00,289777.47,149.58,155.25,105.00,188.00,26294.75,4588.00
2020/1/23,2020/1/19,86832001.62,31734574.00,1962267.00,12695897.00,228258.54,406856993.00,4715980.00,6560991.80,18941.49,28629.96,18566.00,32939.00,634909.51,147633.00,15558.25,7359011.00,258989.00,513290.04,1205.24,1726.71,1348.00,2246.00,47128.36,12191.00,192344.29,2808435.00,5164741.88,4953.59,7548.72,6225.00,12371.00,470089.10,149436.00,753.91,86423.00,7325.00,6680.26,20.57,21.40,21.00,65.00,5344.21,125.00,23834.24,3162970.00,385874.00,310911.33,9.30,18.73,93.00,231.00,28726.83,36939.00,28726.72,20158137.00,266260.00,267375.65,166.58,172.73,117.00,207.00,25149.19,4448.00
2020/1/24,2020/1/19,82159338.72,30908437.00,1911450.00,12267899.00,210152.92,401732144.00,4628502.00,5846137.43,17640.50,26282.06,17297.00,30116.00,560157.66,134845.00,16095.82,7420611.00,259539.00,446701.06,1142.86,1624.65,1286.00,2119.00,41072.44,11661.00,167211.59,2631982.00,4691179.43,4111.75,6559.27,5339.00,11230.00,416675.47,135372.00,768.36,99188.00,7534.00,5893.50,21.51,22.34,22.00,58.00,4714.80,115.00,25038.48,3645718.00,407440.00,299499.40,12.60,24.48,126.00,300.00,29686.55,41628.00,28473.46,19860359.00,261103.00,300093.83,153.36,159.03,107.00,190.00,30234.83,4828.00
2020/1/25,2020/1/19,73574456.05,30651942.00,1969907.00,11552850.00,260419.97,483399847.00,5621934.00,6507807.50,20694.94,30982.03,20298.00,35558.00,645736.42,162144.00,24691.91,9958780.00,351235.00,558224.77,1753.77,2502.61,1987.00,3297.00,53589.78,15694.00,170171.80,2851479.00,4394035.25,4676.83,7369.37,5823.00,12033.00,415804.56,137870.00,775.61,99294.00,8146.00,5916.15,24.45,25.07,25.00,58.00,4732.92,125.00,25012.78,2723516.00,310728.00,249956.30,5.40,11.75,54.00,147.00,25437.72,37728.00,28549.52,17601197.00,262943.00,428724.38,262.26,270.93,157.00,284.00,43071.34,5126.00
2020/1/26,2020/1/26,90133768.84,30697625.00,2096749.00,11030321.00,272463.93,479792784.00,5715816.00,7058578.07,22222.65,33699.56,21795.00,38820.00,693332.53,174983.00,33603.53,12107497.00,432003.00,788984.58,2066.71,3003.32,2338.00,3999.00,70467.58,18953.00,196073.27,2831088.00,5183218.79,4993.41,7855.97,6197.00,13024.00,552134.55,150796.00,1324.28,245164.00,18669.00,8285.83,30.35,30.90,31.00,74.00,6628.67,133.00,27207.38,2243008.00,217990.00,182208.19,2.10,4.97,21.00,63.00,18262.79,24018.00,27313.60,18549675.00,245487.00,548545.98,209.16,217.90,128.00,256.00,45519.91,5335.00
2020/1/27,2020/1/26,92908166.79,33669344.00,2087933.00,14307721.00,275117.55,424962986.00,5039616.00,7031984.65,21188.30,31800.99,20764.00,36507.00,679348.08,161583.00,32943.90,11199639.00,408479.00,759083.71,2090.02,2908.06,2360.00,3768.00,70270.31,17049.00,205907.88,2800930.00,6155821.46,5116.07,7946.11,6542.00,13308.00,532457.12,154665.00,2866.54,485058.00,31622.00,10251.34,35.21,35.76,36.00,84.00,8201.07,186.00,29538.92,2889948.00,269250.00,135947.42,2.10,4.15,21.00,51.00,13681.19,18747.00,29056.75,20572193.00,249800.00,405577.16,199.82,206.99,136.00,241.00,38702.68,4846.00
2020/1/28,2020/1/26,91129718.88,32240354.00,2053495.00,12817912.00,263227.90,419733986.00,4978541.00,6805586.86,19823.85,29709.16,19429.00,34093.00,660615.62,152906.00,31481.48,10652272.00,387734.00,746959.29,2018.10,2782.36,2274.00,3600.00,67450.71,16285.00,199280.84,2873945.00,5761096.92,4675.23,7423.20,6014.00,12548.00,486715.05,148629.00,2985.84,435432.00,29734.00,10945.17,37.16,37.50,38.00,73.00,8756.14,153.00,31658.10,3360236.00,396130.00,171048.02,2.70,5.16,27.00,63.00,16716.42,24711.00,29345.63,19691100.00,245283.00,429087.98,171.82,179.74,107.00,223.00,32844.40,4645.00
2020/1/29,2020/1/26,86930918.57,31877797.00,2008400.00,12715242.00,251068.38,417360321.00,4955691.00,6799067.03,18871.96,28418.86,18498.00,32661.00,657465.42,148350.00,43585.40,12476727.00,451940.00,839878.70,2327.10,3196.37,2631.00,4145.00,80852.28,18575.00,201881.19,2581354.00,5665436.77,4672.73,7514.09,5908.00,12491.00,482493.38,145396.00,2926.86,405605.00,26611.00,8311.74,26.40,27.23,27.00,65.00,6649.39,203.00,36148.82,4408812.00,461938.00,359978.28,8.10,18.14,81.00,228.00,35563.85,44844.00,28368.55,20178785.00,232522.00,376244.62,156.46,163.56,103.00,207.00,35485.37,4073.00
2020/1/30,2020/1/26,87364082.41,31391137.00,1953353.00,12296520.00,254040.04,425031005.00,5022633.00,6755542.83,19266.05,29139.91,18886.00,33533.00,652163.94,153654.00,41267.76,12166678.00,435885.00,818541.28,2204.64,2997.62,2494.00,3878.00,78237.22,17867.00,186473.35,2484453.00,5147509.84,4695.59,7466.44,5885.00,12408.00,467520.91,143677.00,2927.39,415747.00,25573.00,7158.53,23.49,24.24,24.00,59.00,5726.82,114.00,39349.10,5019648.00,452490.00,286050.86,8.70,19.15,87.00,240.00,27910.11,35007.00,27243.84,18872478.00,225502.00,612735.08,240.48,247.65,151.00,256.00,48850.77,4391.00
2020/1/31,2020/1/26,87775752.03,31214687.00,1878300.00,12618208.00,235452.46,425258167.00,4973596.00,6479797.84,20098.81,30006.37,19709.00,34406.00,632085.01,150770.00,42906.83,11463758.00,417437.00,797872.74,2152.38,2932.10,2438.00,3799.00,74651.62,17480.00,184039.52,2472871.00,5124600.04,4517.01,7103.73,5727.00,11894.00,456872.62,144606.00,3002.70,420790.00,25783.00,14855.06,25.49,26.39,27.00,69.00,11884.05,119.00,45552.94,9824426.00,490370.00,511463.62,19.20,41.33,192.00,516.00,52284.31,57548.00,18720.11,10927167.00,144769.00,283000.38,114.18,118.89,81.00,150.00,25891.62,3079.00
2020/2/1,2020/1/26,78331004.50,30233345.00,1989265.00,11470456.00,253773.15,490512478.00,5719430.00,6826507.64,21823.94,32657.06,21407.00,37477.00,670732.66,166815.00,33974.58,11530129.00,409170.00,737202.93,2061.95,2844.89,2337.00,3733.00,70760.62,17800.00,176712.08,2574410.00,4522007.35,4818.53,7476.67,5908.00,12207.00,430713.60,145962.00,3070.37,451885.00,29232.00,9847.34,32.29,33.12,33.00,68.00,7877.88,149.00,43305.62,11903972.00,462986.00,455803.71,20.00,40.49,200.00,500.00,44896.86,50108.00,29559.91,19923900.00,275858.00,519513.61,237.58,247.42,155.00,299.00,49997.47,5751.00
2020/2/2,2020/2/2,81749251.89,29561772.00,1922999.00,11291711.00,246764.26,453455115.00,5342095.00,6674879.66,20482.12,30948.52,20090.00,35617.00,655580.49,161040.00,38020.56,12061611.00,428276.00,740007.73,2191.14,3041.69,2477.00,3977.00,69478.65,18742.00,194667.40,2524404.00,4759976.08,4692.87,7305.49,5889.00,12110.00,448575.24,148089.00,3064.00,485334.00,31429.00,12605.81,31.30,32.20,32.00,79.00,10084.65,161.00,37771.18,6094304.00,460630.00,313510.38,12.00,31.67,120.00,408.00,31945.65,35649.00,30118.34,18277957.00,235606.00,512166.46,248.92,257.59,151.00,278.00,48804.36,5128.00
2020/2/3,2020/2/2,89445721.30,33068528.00,2015388.00,14329027.00,259137.92,411623570.00,4870406.00,6930107.02,20316.80,30633.55,19916.00,35220.00,669501.72,157104.00,36403.42,11061177.00,401793.00,751448.60,2059.31,2863.35,2316.00,3708.00,70773.62,17180.00,202120.54,2917430.00,5356795.53,4785.59,7464.58,6209.00,12661.00,484408.27,151853.00,3980.28,562261.00,34900.00,17360.94,47.93,49.03,49.00,122.00,13888.75,227.00,49626.80,7603674.00,553772.00,375487.39,13.50,33.58,135.00,429.00,37929.47,36765.00,31461.17,21514572.00,270658.00,514183.45,239.22,246.60,155.00,263.00,48951.75,5205.00
2020/2/4,2020/2/2,91826670.26,32251351.00,2035331.00,12984191.00,260950.05,422945709.00,4975144.00,7024604.13,20115.42,30271.05,19718.00,34784.00,672245.28,156020.00,44755.32,12676734.00,453024.00,859072.50,2220.60,3077.90,2509.00,3988.00,81508.74,18253.00,203264.91,2885742.00,5555408.82,4747.30,7457.09,6105.00,12498.00,489445.69,148294.00,6159.73,693521.00,46073.00,30139.07,102.73,105.48,107.00,257.00,24111.26,525.00,62254.38,8502938.00,569232.00,381337.69,12.90,38.10,129.00,498.00,36554.85,39426.00,36627.43,24298484.00,279070.00,459352.55,258.20,268.24,164.00,311.00,42277.88,5367.00
2020/2/5,2020/2/2,89259247.29,32159590.00,2027027.00,12893854.00,245459.44,406810927.00,4782308.00,6855557.19,19543.94,29419.14,19161.00,33810.00,663048.19,151066.00,48340.96,13217964.00,476661.00,870379.47,2242.98,3108.65,2536.00,4046.00,81053.05,19508.00,196436.82,2842900.00,5411512.19,4772.34,7499.98,6074.00,12406.00,471041.30,146837.00,4972.39,544587.00,33880.00,26425.08,95.86,98.05,98.00,215.00,21140.06,507.00,63078.76,8455864.00,540164.00,383464.39,17.10,40.25,171.00,510.00,35327.11,34899.00,29305.01,18490260.00,196861.00,364590.10,266.56,274.62,174.00,292.00,34480.25,4894.00
2020/2/6,2020/2/2,88856157.09,32051187.00,2025426.00,12899280.00,243827.93,409248513.00,4790305.00,6773704.67,19928.08,29640.82,19538.00,33946.00,652782.97,151585.00,47713.72,12904247.00,468019.00,869049.85,2345.58,3229.48,2666.00,4209.00,81603.21,18771.00,194132.78,2685886.00,5131971.39,4630.45,7228.10,5907.00,12020.00,469252.93,143898.00,6655.74,705721.00,43919.00,23407.23,87.10,89.36,89.00,200.00,18725.79,361.00,64073.80,8371680.00,543352.00,357585.78,17.40,45.06,174.00,579.00,36487.55,37608.00,26763.19,14356917.00,172191.00,348003.85,255.00,262.99,166.00,283.00,32185.45,5261.00
2020/2/7,2020/2/2,86366036.84,31465685.00,1946289.00,12870440.00,229199.70,411739948.00,4923406.00,6212623.74,18809.94,28038.66,18446.00,32137.00,606371.96,144412.00,34472.44,10294843.00,379592.00,661739.71,1954.72,2662.09,2223.00,3475.00,64499.18,15723.00,192301.43,2757629.00,5232056.49,4381.90,6861.07,5484.00,11367.00,477906.49,143643.00,5918.72,585810.00,36825.00,21937.41,68.44,70.99,70.00,190.00,17549.93,444.00,62223.06,7696298.00,478252.00,351124.32,12.60,39.65,126.00,522.00,34134.35,35424.00,23203.04,11446968.00,152751.00,302431.40,209.10,216.89,131.00,245.00,30280.47,5438.00
2020/2/8,2020/2/2,76927542.77,30124715.00,2018745.00,11589389.00,254296.50,498919676.00,5833802.00,6653277.66,20680.26,31177.00,20286.00,35857.00,655569.33,161534.00,35517.26,11207675.00,408380.00,696519.79,2070.10,2894.18,2357.00,3817.00,67631.54,16887.00,175416.27,2865520.00,4470069.48,4552.50,7093.68,5709.00,11671.00,412292.04,136932.00,6321.88,618110.00,38901.00,20293.08,45.92,47.71,47.00,156.00,16234.46,304.00,63555.34,8050016.00,508620.00,319957.38,14.10,35.61,141.00,456.00,32127.36,34566.00,16666.31,8955707.00,128244.00,254395.47,126.98,134.01,89.00,192.00,25289.99,4899.00
2020/2/9,2020/2/9,84911454.85,30764961.00,2121767.00,11587268.00,256281.68,433287745.00,5642258.00,6936617.08,20986.37,31744.67,20585.00,36544.00,678134.34,168767.00,27124.68,9860848.00,359813.00,649912.09,1930.73,2657.35,2184.00,3468.00,61276.58,15872.00,195186.48,3023534.00,4942222.46,4915.49,7768.18,6037.00,12655.00,465023.88,152003.00,6076.18,654638.00,44116.00,22498.51,60.51,62.86,62.00,185.00,17998.81,338.00,64061.02,8439586.00,538666.00,353618.66,18.60,48.31,186.00,621.00,35526.48,38358.00,17525.20,9535312.00,134655.00,298993.83,121.12,127.06,90.00,177.00,28628.67,6057.00
